airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-05-18,Delhi,Cochin,03:50:00,19:15:00,925,1,No Info,8879
Multiple Carriers,2019-06-12,Delhi,Cochin,08:45:00,19:15:00,630,1,No Info,8266
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,04:25:00,550,1,No Info,12242
Air India,2019-05-06,Kolkata,Banglore,05:50:00,13:15:00,445,2,No Info,7662
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,09:45:00,800,1,In-flight meal not included,12384
Spicejet,2019-05-01,Chennai,Kolkata,17:45:00,20:05:00,140,0,No check-in baggage included,3543
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,10:25:00,695,1,No Info,17261
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,10:25:00,830,1,No Info,17261
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,20:45:00,855,1,In-flight meal not included,7064
Spicejet,2019-06-27,Chennai,Kolkata,08:20:00,10:35:00,135,0,No Info,3597
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,04:25:00,395,1,No Info,16079
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,12898
Indigo,2019-06-06,Banglore,Delhi,04:00:00,06:50:00,170,0,No Info,3943
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,04:40:00,585,1,No Info,14388
Indigo,2019-06-06,Kolkata,Banglore,21:00:00,02:15:00,315,1,No Info,6711
Air India,2019-06-12,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,3100
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,19:00:00,1005,1,In-flight meal not included,12898
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,8016
Multiple Carriers,2019-03-03,Delhi,Cochin,19:00:00,01:35:00,395,1,No Info,16775
Indigo,2019-06-15,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,18:50:00,1260,1,No Info,15764
Indigo,2019-06-06,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,16:20:00,1150,1,In-flight meal not included,10844
Indigo,2019-05-24,Delhi,Cochin,14:20:00,22:30:00,490,1,No Info,7640
Air Asia,2019-05-18,Banglore,Delhi,23:55:00,02:45:00,170,0,No Info,4483
Air India,2019-06-03,Delhi,Cochin,20:15:00,19:15:00,1380,2,No Info,13381
Indigo,2019-06-09,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,5644
Indigo,2019-03-09,Banglore,New Delhi,20:00:00,22:55:00,175,0,No Info,6144
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,12:35:00,1595,1,In-flight meal not included,12373
Air India,2019-03-18,Banglore,New Delhi,13:50:00,18:40:00,1730,1,No Info,11161
Indigo,2019-06-12,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,12:35:00,1595,1,In-flight meal not included,10262
Spicejet,2019-06-01,Kolkata,Banglore,22:20:00,00:40:00,140,0,No Info,3873
Indigo,2019-06-27,Banglore,Delhi,22:10:00,01:00:00,170,0,No Info,3419
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,22:05:00,1745,1,No Info,13067
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,22:05:00,1540,1,No Info,11467
Multiple Carriers,2019-05-15,Delhi,Cochin,09:00:00,19:00:00,600,1,No Info,10197
Spicejet,2019-03-15,Banglore,New Delhi,10:20:00,18:15:00,475,1,No Info,10341
Indigo,2019-06-15,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Multiple Carriers,2019-05-15,Delhi,Cochin,09:45:00,16:10:00,385,1,No Info,9646
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,21:00:00,490,1,No Info,7485
Air India,2019-06-06,Kolkata,Banglore,12:00:00,18:30:00,1830,2,No Info,9626
Multiple Carriers,2019-05-27,Delhi,Cochin,12:50:00,01:30:00,760,1,No Info,6795
Indigo,2019-04-24,Delhi,Cochin,20:25:00,01:30:00,305,1,No Info,5065
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,13014
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,19:15:00,385,1,No Info,9526
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,22:30:00,925,1,No Info,9646
Multiple Carriers,2019-03-06,Delhi,Cochin,13:00:00,01:35:00,755,1,No Info,15603
Indigo,2019-03-21,Banglore,New Delhi,13:40:00,18:35:00,295,1,No Info,7166
Multiple Carriers,2019-05-21,Delhi,Cochin,10:20:00,19:15:00,535,1,No Info,8266
Multiple Carriers,2019-06-12,Delhi,Cochin,17:50:00,01:30:00,460,2,No Info,18275
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,08:15:00,1545,1,In-flight meal not included,9663
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,04:25:00,550,1,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,10:20:00,01:35:00,915,1,No Info,6427
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,21:05:00,1480,1,No Info,13067
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2,No Info,12093
Jet Airways,2019-06-15,Delhi,Cochin,06:45:00,04:25:00,1300,2,In-flight meal not included,10919
Air India,2019-03-01,Delhi,Cochin,09:45:00,08:15:00,1350,1,No Info,22798
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,12:00:00,1655,1,In-flight meal not included,9663
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,19:00:00,1430,2,No Info,15129
Spicejet,2019-06-15,Chennai,Kolkata,08:20:00,10:35:00,135,0,No check-in baggage included,3543
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,07:40:00,1365,1,In-flight meal not included,7412
Spicejet,2019-06-24,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Jet Airways,2019-06-15,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,14714
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,09:30:00,1475,1,No Info,17261
Jet Airways,2019-06-09,Delhi,Cochin,02:15:00,04:25:00,1570,1,In-flight meal not included,10262
Indigo,2019-05-21,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,5601
Air India,2019-03-09,Delhi,Cochin,04:00:00,07:40:00,1660,1,No Info,10315
Multiple Carriers,2019-05-09,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,10197
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1,In-flight meal not included,9314
Jet Airways,2019-03-18,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,In-flight meal not included,2228
Jet Airways,2019-06-03,Delhi,Cochin,20:00:00,04:25:00,505,2,In-flight meal not included,15318
Air India,2019-05-24,Kolkata,Banglore,16:50:00,07:55:00,905,1,No Info,8576
Multiple Carriers,2019-05-15,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,13727
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,08:15:00,800,1,No Info,13584
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,12:35:00,1615,2,In-flight meal not included,10368
Spicejet,2019-03-15,Chennai,Kolkata,09:30:00,12:05:00,155,0,No Info,6300
Multiple Carriers,2019-06-15,Delhi,Cochin,18:15:00,01:30:00,435,1,No Info,13377
Spicejet,2019-04-24,Delhi,Cochin,08:45:00,13:15:00,270,1,No Info,4812
Air India,2019-05-27,Delhi,Cochin,16:40:00,19:15:00,1595,2,No Info,9968
Indigo,2019-03-27,Delhi,Cochin,17:30:00,01:35:00,485,1,No Info,6628
Air India,2019-05-18,Kolkata,Banglore,08:20:00,20:25:00,725,2,No Info,12534
Indigo,2019-03-09,Delhi,Cochin,02:00:00,07:45:00,345,1,No Info,7060
Jet Airways,2019-04-06,Delhi,Cochin,08:00:00,19:00:00,660,1,In-flight meal not included,5406
Air India,2019-06-09,Kolkata,Banglore,05:50:00,23:15:00,1045,2,No Info,12723
Vistara,2019-06-01,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Indigo,2019-06-01,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3597
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,15:15:00,495,1,No Info,26890
Air Asia,2019-05-06,Kolkata,Banglore,07:35:00,23:30:00,955,1,No Info,5192
Indigo,2019-06-18,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,5000
Air India,2019-06-06,Delhi,Cochin,07:00:00,19:15:00,735,1,No Info,8669
Jet Airways,2019-06-03,Delhi,Cochin,07:05:00,12:35:00,330,1,No Info,14924
Indigo,2019-06-24,Delhi,Cochin,23:30:00,04:35:00,305,1,No Info,9165
Air India,2019-05-21,Kolkata,Banglore,14:30:00,12:30:00,1320,2,No Info,15107
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,08:15:00,665,1,In-flight meal not included,10844
Vistara,2019-03-09,Banglore,New Delhi,09:50:00,12:35:00,165,0,No Info,11598
Indigo,2019-06-24,Delhi,Cochin,08:35:00,22:30:00,835,1,No Info,6442
Multiple Carriers,2019-05-09,Delhi,Cochin,14:55:00,22:30:00,455,1,No Info,6805
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,18:00:00,1295,1,In-flight meal not included,9314
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,19:15:00,730,1,No Info,14848
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,07:40:00,1480,1,No Info,11455
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,13:20:00,560,1,No Info,14973
Air Asia,2019-05-18,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,5989
Indigo,2019-03-01,Chennai,Kolkata,14:40:00,17:05:00,145,0,No Info,7295
Jet Airways,2019-05-21,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,12898
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,09:20:00,730,1,No Info,13044
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,12:35:00,425,2,In-flight meal not included,15544
Air India,2019-06-12,Kolkata,Banglore,07:00:00,16:15:00,555,1,No Info,11936
Indigo,2019-04-03,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Indigo,2019-04-01,Delhi,Cochin,06:50:00,12:10:00,320,1,No Info,5298
Goair,2019-03-15,Banglore,New Delhi,20:55:00,23:50:00,175,0,No Info,8722
Air Asia,2019-06-01,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4409
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,09:30:00,1530,1,In-flight meal not included,11087
Multiple Carriers,2019-05-27,Delhi,Cochin,14:55:00,22:30:00,455,1,No Info,7038
Jet Airways,2019-06-18,Banglore,Delhi,15:50:00,18:45:00,175,0,No Info,8016
Indigo,2019-05-06,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Spicejet,2019-06-27,Banglore,Delhi,09:30:00,12:20:00,170,0,No check-in baggage included,3573
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,04:25:00,1570,1,In-flight meal not included,12898
Indigo,2019-06-15,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Indigo,2019-06-01,Delhi,Cochin,17:30:00,01:30:00,480,1,No Info,6628
Air India,2019-05-15,Kolkata,Banglore,09:25:00,05:25:00,1200,2,No Info,14687
Spicejet,2019-05-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No Info,2017
Spicejet,2019-04-18,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,4174
Spicejet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3543
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,7198
Jet Airways,2019-06-21,Banglore,Delhi,06:00:00,08:45:00,165,0,No Info,8016
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,20:45:00,740,1,No Info,14571
Spicejet,2019-05-27,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Multiple Carriers,2019-06-27,Delhi,Cochin,17:50:00,01:30:00,460,2,No Info,18275
Air India,2019-06-09,Kolkata,Banglore,12:00:00,13:15:00,1515,1,No Info,7662
Air India,2019-05-06,Kolkata,Banglore,09:25:00,07:55:00,1350,1,No Info,8366
Jet Airways,2019-03-09,Mumbai,Hyderabad,06:30:00,08:00:00,90,0,In-flight meal not included,4995
Jet Airways,2019-04-12,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,7229
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,21:20:00,935,1,In-flight meal not included,7832
Jet Airways,2019-03-03,Delhi,Cochin,05:40:00,04:25:00,1365,2,No Info,19266
Indigo,2019-04-06,Banglore,Delhi,22:10:00,01:00:00,170,0,No Info,3943
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,19:15:00,615,1,In-flight meal not included,15342
Air Asia,2019-06-12,Banglore,Delhi,23:55:00,02:45:00,170,0,No Info,3383
Air India,2019-05-15,Delhi,Cochin,17:20:00,09:25:00,965,1,No Info,7480
Multiple Carriers,2019-05-27,Delhi,Cochin,09:15:00,19:15:00,600,1,No Info,9149
Multiple Carriers,2019-05-18,Delhi,Cochin,03:50:00,12:35:00,525,1,No Info,10197
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,12:00:00,1315,1,In-flight meal not included,9663
Indigo,2019-05-09,Delhi,Cochin,07:35:00,12:10:00,275,1,No Info,5054
Spicejet,2019-05-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,1965
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,04:25:00,745,1,In-flight meal not included,10262
Air India,2019-03-06,Delhi,Cochin,12:30:00,09:25:00,1255,1,No Info,13832
Multiple Carriers,2019-05-27,Delhi,Cochin,03:50:00,12:35:00,525,1,No Info,10197
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,10:25:00,280,1,In-flight meal not included,9134
Multiple Carriers,2019-03-06,Delhi,Cochin,06:40:00,18:50:00,730,1,No Info,15135
Air India,2019-05-18,Kolkata,Banglore,10:00:00,05:25:00,1165,2,No Info,14109
Multiple Carriers,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1,No Info,11667
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,10:25:00,280,1,No Info,12284
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1,No Info,12692
Spicejet,2019-04-15,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,4423
Jet Airways,2019-05-06,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,3702
Indigo,2019-05-18,Kolkata,Banglore,09:35:00,12:20:00,165,0,No Info,4804
Jet Airways,2019-06-27,Delhi,Cochin,19:15:00,12:35:00,1040,1,In-flight meal not included,10262
Air India,2019-05-18,Delhi,Cochin,12:00:00,07:40:00,1180,2,No Info,8603
Indigo,2019-05-12,Chennai,Kolkata,05:15:00,07:40:00,145,0,No Info,3540
Jet Airways,2019-06-15,Delhi,Cochin,12:15:00,12:35:00,1460,2,No Info,14300
Indigo,2019-05-27,Delhi,Cochin,21:05:00,00:20:00,195,0,No Info,5601
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,04:25:00,830,2,In-flight meal not included,10919
Air Asia,2019-06-06,Delhi,Cochin,07:55:00,13:25:00,330,1,No Info,8759
Jet Airways,2019-03-18,Banglore,New Delhi,21:25:00,09:30:00,725,1,No Info,13555
Air India,2019-04-06,Delhi,Cochin,17:40:00,23:00:00,320,1,No Info,5232
Jet Airways,2019-03-03,Delhi,Cochin,23:05:00,18:50:00,1185,1,No Info,18253
Jet Airways,2019-06-24,Mumbai,Hyderabad,08:45:00,10:15:00,90,0,No Info,8040
Air India,2019-03-03,Banglore,New Delhi,10:30:00,11:20:00,1490,1,No Info,11003
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,04:25:00,1165,1,In-flight meal not included,12898
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,04:40:00,1330,1,In-flight meal not included,7594
Vistara,2019-04-21,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,5613
Goair,2019-06-06,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3419
Air Asia,2019-05-15,Kolkata,Banglore,07:35:00,19:25:00,710,1,No Info,5192
Indigo,2019-03-06,Delhi,Cochin,07:30:00,15:30:00,480,1,No Info,14871
Air India,2019-05-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,3625
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,23:35:00,570,1,In-flight meal not included,9899
Jet Airways,2019-03-15,Banglore,New Delhi,22:50:00,07:40:00,530,1,In-flight meal not included,9134
Spicejet,2019-05-24,Chennai,Kolkata,08:20:00,10:35:00,135,0,No Info,3597
Jet Airways,2019-06-06,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,8016
Air India,2019-05-24,Kolkata,Banglore,10:00:00,01:20:00,920,2,No Info,14083
Indigo,2019-06-24,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,3943
Multiple Carriers,2019-03-27,Delhi,Cochin,17:00:00,01:35:00,515,1,No Info,6673
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,No Info,5678
Air India,2019-05-06,Kolkata,Banglore,16:45:00,08:55:00,970,2,No Info,13227
Air India,2019-04-03,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,5176
Jet Airways,2019-06-12,Delhi,Cochin,08:00:00,19:00:00,660,1,In-flight meal not included,10577
Indigo,2019-03-01,Kolkata,Banglore,22:10:00,00:55:00,165,0,No Info,4778
Indigo,2019-03-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No Info,13999
Multiple Carriers,2019-06-24,Delhi,Cochin,15:05:00,01:30:00,625,2,No Info,15965
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,22:05:00,750,1,No Info,12692
Multiple Carriers,2019-03-21,Delhi,Cochin,14:35:00,22:20:00,465,1,In-flight meal not included,5999
Indigo,2019-05-21,Kolkata,Banglore,19:55:00,23:50:00,235,1,No Info,4226
Goair,2019-03-09,Banglore,New Delhi,07:45:00,10:40:00,175,0,No Info,7631
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,21:00:00,490,1,No Info,7740
Multiple Carriers,2019-06-06,Delhi,Cochin,10:35:00,19:00:00,505,1,No Info,10877
Jet Airways,2019-06-01,Delhi,Cochin,07:05:00,12:35:00,330,1,No Info,16079
Air India,2019-04-21,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,5228
Air India,2019-05-15,Kolkata,Banglore,09:10:00,04:40:00,1170,2,No Info,6117
Air India,2019-03-03,Banglore,New Delhi,09:30:00,16:20:00,410,1,No Info,11654
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,19:10:00,575,1,No Info,11467
Indigo,2019-03-09,Banglore,New Delhi,16:50:00,21:35:00,285,1,No Info,10231
Spicejet,2019-06-01,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,5583
Jet Airways,2019-06-01,Delhi,Cochin,18:15:00,04:25:00,610,1,In-flight meal not included,10262
Air India,2019-05-21,Kolkata,Banglore,08:20:00,21:50:00,810,2,No Info,10697
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,12:00:00,960,1,No Info,14571
Jet Airways,2019-06-24,Delhi,Cochin,19:10:00,12:35:00,1045,2,No Info,12819
Multiple Carriers,2019-06-09,Delhi,Cochin,09:45:00,22:30:00,765,1,No Info,9646
Indigo,2019-05-15,Delhi,Cochin,06:40:00,21:00:00,860,1,No Info,7191
Indigo,2019-06-27,Delhi,Cochin,02:00:00,07:25:00,325,1,No Info,5636
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,22:35:00,520,1,No Info,14231
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,20:20:00,520,1,No Info,13555
Spicejet,2019-03-12,Chennai,Kolkata,08:20:00,10:35:00,135,0,No Info,6300
Multiple Carriers,2019-03-03,Delhi,Cochin,12:50:00,01:35:00,765,1,No Info,18192
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,18:15:00,705,1,In-flight meal not included,10844
Air India,2019-03-03,Delhi,Cochin,05:55:00,07:40:00,1545,2,No Info,15113
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,07:40:00,615,1,No Info,16736
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,22:35:00,365,1,No Info,14781
Vistara,2019-04-06,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,5613
Indigo,2019-03-21,Banglore,New Delhi,11:20:00,15:25:00,245,1,No Info,5746
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,23:35:00,570,1,No Info,14571
Indigo,2019-05-24,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,4332
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,21:20:00,435,1,No Info,19225
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,18:50:00,1670,1,No Info,12767
Jet Airways,2019-04-18,Delhi,Cochin,11:00:00,14:15:00,195,0,No Info,9564
Air India,2019-05-27,Delhi,Cochin,12:20:00,19:15:00,1855,2,No Info,12488
Jet Airways,2019-05-09,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,4030
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,18:45:00,695,1,No Info,16932
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1,In-flight meal not included,5608
Indigo,2019-06-09,Delhi,Cochin,17:05:00,22:15:00,310,1,No Info,6493
Jet Airways,2019-06-03,Delhi,Cochin,07:05:00,19:00:00,715,1,In-flight meal not included,10577
Indigo,2019-05-27,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No Info,4049
Indigo,2019-06-01,Banglore,Delhi,21:15:00,00:15:00,180,0,No Info,3943
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,13292
Goair,2019-05-15,Kolkata,Banglore,23:30:00,07:45:00,495,1,No Info,6945
Air India,2019-03-12,Banglore,New Delhi,08:50:00,10:15:00,1525,2,No Info,12778
Air India,2019-03-21,Delhi,Cochin,20:30:00,23:00:00,1590,1,No Info,5704
Multiple Carriers,2019-06-15,Delhi,Cochin,10:20:00,19:15:00,535,1,No Info,9526
Air India,2019-03-03,Banglore,New Delhi,13:20:00,16:10:00,170,0,No Info,10216
Indigo,2019-03-09,Delhi,Cochin,21:05:00,01:45:00,280,1,No Info,6937
Vistara,2019-03-18,Banglore,New Delhi,19:40:00,22:20:00,160,0,No Info,12123
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,18:15:00,705,1,No Info,14571
Vistara,2019-06-01,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6741
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25:00,150,0,No Info,3873
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,22:30:00,925,1,No Info,10348
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,16:20:00,590,1,No Info,12996
Spicejet,2019-04-03,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,3873
Air India,2019-05-18,Kolkata,Banglore,09:25:00,13:45:00,1700,2,No Info,13222
Multiple Carriers,2019-06-06,Delhi,Cochin,11:30:00,21:00:00,570,1,No Info,13587
Multiple Carriers,2019-06-24,Delhi,Cochin,07:10:00,16:10:00,540,1,No Info,6723
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,21:00:00,835,1,No Info,13727
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,22:35:00,850,1,No Info,13759
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,9424
Indigo,2019-05-27,Delhi,Cochin,02:00:00,07:25:00,325,1,No Info,7164
Indigo,2019-05-09,Kolkata,Banglore,15:15:00,20:30:00,315,1,No Info,4565
Air India,2019-05-15,Kolkata,Banglore,19:00:00,11:05:00,965,1,No Info,6117
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2,No Info,12849
Multiple Carriers,2019-06-24,Delhi,Cochin,11:40:00,19:00:00,440,1,In-flight meal not included,10791
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,04:45:00,540,1,No Info,13759
Air India,2019-05-21,Kolkata,Banglore,16:50:00,05:35:00,765,2,No Info,12324
Spicejet,2019-03-01,Banglore,New Delhi,09:35:00,12:30:00,175,0,No Info,11690
Air India,2019-03-15,Banglore,New Delhi,05:50:00,23:45:00,1075,2,No Info,7664
Indigo,2019-03-09,Banglore,New Delhi,19:30:00,00:40:00,310,1,No Info,7280
Indigo,2019-05-03,Banglore,Delhi,21:15:00,00:15:00,180,0,No Info,3943
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,23:25:00,1625,1,No Info,9345
Indigo,2019-06-27,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,23:35:00,570,1,In-flight meal not included,11841
Indigo,2019-05-18,Kolkata,Banglore,19:35:00,23:15:00,220,1,No Info,4226
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,12:35:00,1010,1,In-flight meal not included,12898
Air India,2019-05-21,Delhi,Cochin,12:30:00,09:25:00,1255,1,No Info,7480
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,19:10:00,1365,1,No Info,13067
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,16:10:00,625,1,No Info,16736
Indigo,2019-03-24,Banglore,New Delhi,13:00:00,15:50:00,170,0,No Info,8033
Vistara,2019-05-01,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,4668
Jet Airways,2019-03-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Vistara,2019-03-15,Banglore,New Delhi,07:00:00,09:40:00,160,0,No Info,6138
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,23:35:00,1630,1,No Info,14151
Jet Airways,2019-06-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,4050
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,23:25:00,1625,1,No Info,8085
Spicejet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,150,0,No Info,3873
Air India,2019-04-21,Banglore,Delhi,17:00:00,19:45:00,165,0,No Info,5438
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,5158
Jet Airways,2019-05-15,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,4030
Vistara,2019-03-21,Banglore,New Delhi,16:00:00,18:35:00,155,0,No Info,5613
Jet Airways,2019-05-27,Delhi,Cochin,17:30:00,19:00:00,1530,1,In-flight meal not included,12898
Spicejet,2019-05-03,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,3597
Spicejet,2019-06-06,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,5583
Spicejet,2019-06-24,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No check-in baggage included,1965
Spicejet,2019-04-01,Kolkata,Banglore,15:05:00,20:20:00,315,1,No Info,4649
Indigo,2019-05-21,Delhi,Cochin,15:10:00,20:50:00,340,1,No Info,6027
